BS 1 has antennas 0, 1;    BS 2 has antennas 2, 3;    BS 3 has antennas 4, 5
Antenna index, Point index, Gain dB
0, 0, -31.511313906990207
0, 1, -34.266584180560166
0, 2, -36.95358628107742
0, 3, -34.09395162193511
0, 4, -31.402946146765295
0, 5, -37.094850021680095
0, 6, -35.25358628107742
0, 7, -31.135393289922703
0, 8, -33.11047605642271
0, 9, -31.318973611519443
1, 0, -37.97172899848632
1, 1, -34.60495125173716
1, 2, -22.19819459864949
1, 3, -35.17172899848632
1, 4, -37.578895813792705
1, 5, -28.281169152337313
1, 6, -31.498477452330548
1, 7, -36.91676464638575
1, 8, -36.1839249593899
1, 9, -37.3582151452088
2, 0, -32.093452140302226
2, 1, -15.099947910629778
2, 2, -1.1999999247070505
2, 3, -12.399984977133311
2, 4, -0.1999999454550796
2, 5, -1.6999999052117936
2, 6, -3.4999997828527682
2, 7, -0.19999995249336067
2, 8, -1.599999896066798
2, 9, -34.38565267386927
3, 0, -31.095866281692928
3, 1, -26.689144039179276
3, 2, -5.49999945455086
3, 3, -23.697267997535715
3, 4, -2.5999998352769786
3, 5, -6.499999135521435
3, 6, -9.599996396255811
3, 7, -2.19999988066872
3, 8, -6.199999135521434
3, 9, -32.97229768445354
4, 0, -20.799373830806523
4, 1, -2.1999998860395102
4, 2, -31.115228553602336
4, 3, -2.5999999052117957
4, 4, -36.5377869860283
4, 5, -30.838260131447164
4, 6, -28.580285698507378
4, 7, -34.05206632012899
4, 8, -33.93049054478067
4, 9, -18.89973894728753
5, 0, -28.577380116505644
5, 1, -31.418973611519448
5, 2, -14.199965584754326
5, 3, -31.34612887244021
5, 4, 6.557741727419852e-08
5, 5, -16.999896069283214
5, 6, -31.03826013144717
5, 7, -2.899999810872668
5, 8, -1.8999996226413778
5, 9, -31.22255615362207
