BS 1 has antennas 0, 1;    BS 2 has antennas 2, 3;    BS 3 has antennas 4, 5
Antenna index, Channel index, Point index, Path loss dB
0, 0, 0, 116.71652186355345
0, 0, 1, 114.78934371117657
0, 0, 2, 103.33446650792398
0, 0, 3, 114.35707104323089
0, 0, 4, 109.34105934521362
0, 0, 5, 105.68194974104662
0, 0, 6, 109.7597608355687
0, 0, 7, 101.82365190404676
0, 0, 8, 110.697637818011
0, 0, 9, 116.33028584488068
0, 1, 0, 116.78939238736145
0, 1, 1, 114.86221745148072
0, 1, 2, 103.40735157006722
0, 1, 3, 114.42994644990883
0, 1, 4, 109.41394035539619
0, 1, 5, 105.7548333910094
0, 1, 6, 109.83264130356167
0, 1, 7, 101.89653754350036
0, 1, 8, 110.77051740136174
0, 1, 9, 116.40315979319897
1, 0, 0, 116.71652186355345
1, 0, 1, 114.78934371117657
1, 0, 2, 103.33446650792398
1, 0, 3, 114.35707104323089
1, 0, 4, 109.34105934521362
1, 0, 5, 105.68194974104662
1, 0, 6, 109.7597608355687
1, 0, 7, 101.82365190404676
1, 0, 8, 110.697637818011
1, 0, 9, 116.33028584488068
1, 1, 0, 116.78939238736145
1, 1, 1, 114.86221745148072
1, 1, 2, 103.40735157006722
1, 1, 3, 114.42994644990883
1, 1, 4, 109.41394035539619
1, 1, 5, 105.7548333910094
1, 1, 6, 109.83264130356167
1, 1, 7, 101.89653754350036
1, 1, 8, 110.77051740136174
1, 1, 9, 116.40315979319897
2, 0, 0, 98.95064707145028
2, 0, 1, 108.12024468788111
2, 0, 2, 114.98651798825723
2, 0, 3, 107.94518699748569
2, 0, 4, 110.0117053306953
2, 0, 5, 114.21949838308419
2, 0, 6, 112.53907729031359
2, 0, 7, 113.82082385486571
2, 0, 8, 109.1966691291031
2, 0, 9, 94.00138802097487
2, 1, 0, 99.02353370801413
2, 1, 1, 108.19312671130416
2, 1, 2, 115.05939196760991
2, 1, 3, 108.0180693634432
2, 1, 4, 110.08458584864152
2, 1, 5, 114.2923731762075
2, 1, 6, 112.61195458384938
2, 1, 7, 113.89369954838355
2, 1, 8, 109.26955025656821
2, 1, 9, 94.07427588848294
3, 0, 0, 98.95064707145028
3, 0, 1, 108.12024468788111
3, 0, 2, 114.98651798825723
3, 0, 3, 107.94518699748569
3, 0, 4, 110.0117053306953
3, 0, 5, 114.21949838308419
3, 0, 6, 112.53907729031359
3, 0, 7, 113.82082385486571
3, 0, 8, 109.1966691291031
3, 0, 9, 94.00138802097487
3, 1, 0, 99.02353370801413
3, 1, 1, 108.19312671130416
3, 1, 2, 115.05939196760991
3, 1, 3, 108.0180693634432
3, 1, 4, 110.08458584864152
3, 1, 5, 114.2923731762075
3, 1, 6, 112.61195458384938
3, 1, 7, 113.89369954838355
3, 1, 8, 109.26955025656821
3, 1, 9, 94.07427588848294
4, 0, 0, 111.96685942594067
4, 0, 1, 106.00789676777059
4, 0, 2, 108.49941446169466
4, 0, 3, 104.7290703621415
4, 0, 4, 103.09229038748427
4, 0, 5, 106.54770898223651
4, 0, 6, 101.38281203237288
4, 0, 7, 108.43441459722196
4, 0, 8, 94.0184741654226
4, 0, 9, 110.95757607604786
4, 1, 0, 112.0397378166241
4, 1, 1, 106.08078032548825
4, 1, 2, 108.57229636458544
4, 1, 3, 104.80195497506917
4, 1, 4, 103.16517558087645
4, 1, 5, 106.62059218524145
4, 1, 6, 101.4556978370557
4, 1, 7, 108.5072965458859
4, 1, 8, 94.09136182445118
4, 1, 9, 111.03045701754435
5, 0, 0, 111.96685942594067
5, 0, 1, 106.00789676777059
5, 0, 2, 108.49941446169466
5, 0, 3, 104.7290703621415
5, 0, 4, 103.09229038748427
5, 0, 5, 106.54770898223651
5, 0, 6, 101.38281203237288
5, 0, 7, 108.43441459722196
5, 0, 8, 94.0184741654226
5, 0, 9, 110.95757607604786
5, 1, 0, 112.0397378166241
5, 1, 1, 106.08078032548825
5, 1, 2, 108.57229636458544
5, 1, 3, 104.80195497506917
5, 1, 4, 103.16517558087645
5, 1, 5, 106.62059218524145
5, 1, 6, 101.4556978370557
5, 1, 7, 108.5072965458859
5, 1, 8, 94.09136182445118
5, 1, 9, 111.03045701754435
